,id,title,synopsis,genres,tags,director,production_company
89,97,CHUMO,"Juma (Hussein Mkiety) is a poor Fisherman who Loves telling Tales. 
 Amina (Jokate Mwegelo) is the Girl who Loves to hear his Stories.  They long to be Together, but Amina's father - Ali (Jaffari Makatu), wants a better Life for her.  Ali thinks that he has found this in Yustus (Yusuph Milela) - a Rich, but Self-serving, young Suitor.  Juma must put Everything on the line to Save their Love.","[""Drama"",""New Releases"",""Romance""]","Jordan Riber, John Riber, Louise Riber, Andrew Whaley, Ali Mbwana,  Owen Prum, Ezekiel Onyango, Tito Mwaipopo, Julian Gordon Hastings, Hussein Mkiety, Jokate Mwegelo, Jaffari Makatu, Yusuph Milela, US President's Malaria Initiative, Johns Hopkins Bloomberg School of Public Health, Media for Development International – Tanzania (MFDI), Stanbic Bank, Tanzanian Government, USAID, CDC",Gail Gay,Emotional Damage!
90,98,14 PHERE,"Sanjay (Vikrant Massey) - a Rajput from Jahanabad, is in love with Aditi (Kriti Kharbanda)- a Jat from Jaipur.

They want to get Married, but Don't want to Hurt their Families.

So they Plan to get Married, by Arranging a Fake set of Parents.

The result is a hilarious Romantic Comedy, by Manoj Kalwani and Devanshu Singh.","[""26% Off in our Birthday Month"",""30% Diwali Discounts"",""Bollywood"",""Comedy"",""New Releases"",""Romance"",""Romantic Comedy"",""TWOSDAY TREAT""]","Vikrant Massey, Kriti Kharbanda, Manoj Kalwani, Devanshu Singh, Zee Studios",Russell Simmons,XYZ Nation
91,99,SLEEPING WARRIOR ,"Set in Kenya’s Rift Valley, in the Shadow of the Sleeping Warrior mountain, this is the True Story of Africa's first female Lacrosse Team, and their Journey across the Globe to the 2019 World Championships.

Transformed by the Experience, these Determined young Women experience Heartbreak and Joy, but Never give up on their Dreams.

SLEEPING WARRIOR focuses on Sharon Opari - a beautiful and dignified 18-year-old girl who was given away at age 7 to work as a Maid, after her HIV-infected Mother was sent to Prison.  Overcoming poverty, malaria and abuse, Sharon is Chosen to represent Kenya at the World Lacrosse Championships.  Before Lacrosse, Sharon had Never left her Village and now we are privileged to Watch as she Travels across the World to be Transformed forever by her time in Canada.

She experiences Joy as the Team becomes the Darlings of the Tournament, and they are adopted by the local Town (Peterborough, Ontario) and become mini Celebrities.  Then watch her Heartbreak as the Team is Knocked-out of the Tournament.  We see Sharon blossom as she Deepens her Friendships with her Teammates; but then see her Despair as she Realises the Dream will come to an End, and she will Return to her Life as a “slave” back in Kenya.

Before and after Canada, we follow Sharon as she tries to Find her “real” Family.  Sharon had always been told her biological Mother had Died in Prison, so we follow her Quest to find her mother’s Grave - only to Discover that her Mother might be Alive after all.  Watch as Sharon uncovers old Secrets, and Encounters shady Characters, as she Perseveres in her Quest for the Truth. 

And when the Family she has been a “slave” for Threatens to “delete”’ her if she Moves out, we Discover that Sharon has had a real Family all along - her Lacrosse family.  And with Them, she can finally be Free.","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Internationally Acclaimed"",""New Releases"",""Sports"",""True Story""]","Sleeping Warrior Productions, Quarry Island Films, Janet Wells, Nina Ruiz, Mwaura Timothy, Matthew Scholes, Belete Negusie, Vanesa Lorena Tate, Pablo Scoparino, Mike Brooks, Peter Raymont, Simon Holland",Katie Rose,Boiiii
92,100,The Cinderella  Effect: The Angela Ellington Story,Angela Ellington’s personal stories moved her to become an advocate for abused children. The Cinderella Effect explores a specific type of abuse: that which occurs at the hands of stepparents and cohabiting partners of biological parents- in hopes of creating awareness and provoking action to make this disturbing problem much more rare in our troubled society. ,"[""New Releases"",""True Story""]","Angela Ellington, Jef Jaeger, Hanzhu Tang, Laura L. Pulcifer, Faith Holley, Alhaj Hassiem Abdullah Babatu, Jennifer Alward, Kyle Parrish, Shannah Ellington, Karen Vanderstone, Suzanne Nickolai, Patrick de Artaega, Sikh Community of Oak Creek WI, Childhelp International, The Milwaukee Journal Sentinel, Daniel Simon, David Fesliyan, RWG Publishing, Professor Martin Daly, Professor Margo Wilson",Russell Simmons,Arrowhead
93,101,PUAADA,"PUAADA, meaning Conflict, revolves around a lovable & exuberant Dairy Farmer from Punjab - Jaggi (Ammy Virk), and the mesmerising Girl next door - Raunak (Sonam Bajwa).

Jaggi and Raunak are in a Relationship, so decide to Confess their Love to their Parents.  However, Raunak’s father (Hardeep Gill), who is an Air Force Officer, disapproves - as he wanted her Husband to be Educated and in the Armed Forces, like him.  Also, Jaggi’s mother (Anita Devgan) also disapproves, as she wants a simple Village Girl for her Son.

The families eventually Agree to Meet, but the Twist in the Tale comes when Jaggi pulls Away unexpectedly.  This results in a Puaada between Jaggi and Raunak, and their Families, leading to Hilarious situations.

A comedy of Errors, PUAADA is Family Entertainment, where Jaggi and Raunak must Rise above All, to Save their Relationship.","[""30% Diwali Discounts"",""Bollywood"",""Comedy"",""Drama"",""Dramedy"",""Musical"",""New Releases"",""Romantic Comedy""]","Ammy Virk, Sonam Bajwa, Hardeep Gill, Anita Devgan, Seema Kaushal, Sukhwinder Chahal, Nisha Bano, Balwinder Bullet, Deepak Niaz, Gurpreet Bhangu, Sukhwinder Raj, Prakash Gadhu, Honey Mattu, Mintu Kapa, Ajit Mehla, Kaka Mansa, Neeraj Kaushal, Sunny Sandhu, Jashanjeet Gosha, Atul Bhalla, Yamini Chugh, Aman Gill, Pawan Gill, Anurag Singh, Aman Gill, Balwinder Singh Janjua, Rupinder Chahal, Rakesh Dhawan, Anil Rodhan, Rupesh Mali, Aditya Shastri, Anurag Singh, Anshul Chobey, Harman Jeet, Happy Raikoti, Manish More, Sheena Saini, Zee Studios",Ernest Rojas,Okay Pictures
94,102,Victims On Lake Volta,"Ghana is a small country in Western Africa. One of it’s largest industries is fishing on lake Volta, a large man-made lake created in 1965. For many years now, a strange phenomenon has been occurring: thousands of families have been selling their children for slave labor to many of the fisherman on the lake. Some defend it as young children learning a trade, while many others view it as child trafficking- cruel and indefensible- and are working word to put an end to it. “Victims on Lake Volta “ presents the views of some of the people who live in Ghana and are intimately involved in the day to day struggle of dealing with this problem, along with commentary by Angela Rose Ellington, the producer of this film as well as her 2019 film “ The Cinderella Effect: The Angela Ellington Story.”","[""New Releases"",""True Story""]","Angela Rose Ellington, Jef Jaeger, Joseph Amoako Ansah, Divine Kwame Gati, Mad Florence Mawusi Dotse, Abdul Rahman Gyadu, Outsidedown Productions, Inspired Empire Corporation, Open Dove Children's Foundation, Department of Social Welfare and Community Development, Missahoe Montessori School and the Orphanage Home Kpando, Fesliyan Studios",Angela Jimenez,The Truth
95,103,"LOVE, ZAWADI x BLURRED","LOVE, ZAWADI tells the Story of how the enforced COVID-19 Lockdown in some Countries, puts vulnerable Women and young Girls in Life-threatening Situations, where Outside is Safer than Home.

BLURRED: 28 year-old Kare (Brenda Wairimu) is an organised, optimistic & hardworking Lady, also taking Care of her ill Brother (Keith Maina), while Living with their alcoholic & unreliable Father (Grahame Kimani).  But one day, Life just gets too Much…","[""Drama"",""New Releases"",""Short & Sweet""]","Brenda Wairimu, Keith Maina, Grahame Kimani, Brian Obra, Safina Iqbal, April Wambui Gathee, Karen Rollier, Chacha Grace, Ashley Mwok, Marybeth Onyango, Ashton Juma, Tracy Amadi, Grahame Kimani, Karen Rollier, April Wambui Gathee, Brian Obra, Lynne Aswani, Ashton Juma",Deborah Garrett,Jingle Bells
96,104,Bread Winner,"Bread winner is a true Ugandan story of a child who looks after another child and her young sister who is HIV positive. Without any options or anyone to take care of them, they steal to survive.","[""Drama"",""New Releases"",""Short & Sweet""]","Nantongo Sharon, Namuddu Tisha, Ssentongo Sinani, Munila Wasaga, Kiyaga Aisha, Ochwo Emmax, Sinan on Film Production, ",Ernest Rojas,Arrowhead
97,105,Christmas Spirit,"Moses is a little boy with a big heart who lives with his single mother. When Christmas time is near he only wants one gift, but this time their is no hope of going to the village. But he shows what the true meaning of Christmas is.","[""Drama"",""New Releases"",""Short & Sweet""]","Senkubuge Ali, Nabasumba Sylva, Namugambe Jamia, Naluwooza Rebecca, Ssentongo Sinani, Sinan on Film Production, Comtalent, Zeus films",Craig Baker,Arrowhead
98,106,Saved,"Nankya, a young girl aged 15 awaits to be sold off in marriage by her father for him to pay his debts. Is teenage marriage all that fate had in store for her?","[""Drama"",""Family"",""New Releases"",""Short & Sweet""]","Kiyaga Aisha, Akot Sandra, Mayanja Henry, Kizito Silver, Ssentongo Sinani, Tumanyane Andrew, Sekitoreko Isaac, Sinan on Film Production, Werek films",Ryan Murphy,Pulse Comics
99,107,Dog City,"The death of a father in a family of four people left responsibility to the young son to cater for other family members. The son didn't go to school due to lack of school fees so he decided to struggle for the money by selling scrapped material to survive. Unfortunately, whatever money the son brought his mother to save for their future, ended up being wasted on betting.","[""Drama"",""New Releases"",""Short & Sweet""]","Senkubuge Ali, Nabasumba Sylva, Mayanja Henry, Naluwooza Rebecca, Ssentongo Sinani, Tony Katrong, Ssenkaaya Martin, Sinan on Film Production, Comtalent, Zeus films",Russell Simmons,Capital Two
100,108,QISMAT 2,"A story about unrequited love - the shapes it takes and the ways it changes us; plus the exhilarating, and often heartbreaking, ride it takes us on. 

This is the journey of Shiv (Ammy Virk), Bani (Sargun Mehta) and Majaz (Tania), on how their lives intertwine, as they navigate through life, love and heartbreak.","[""Bollywood"",""Drama"",""Dramedy"",""New Releases"",""Romance""]","Ammy Virk, Sargun Mehta, Tania,  Jaani, Jagdeep Sidhu, Ankit Vijan, Navdeep Narula, Kiran Yadav, Zee Studios",Ernest Rojas,Emotional Damage!
